code,vws_minus_0_days,vws_minus_3_days,vws_minus_7_days,vws_minus_14_days
AL012002,19.640763319298706,11.297989204216881,11.471781738042393,1.7114328264534946
AL012003,29.67633406895163,49.30939816480854,14.189371391068862,14.516916852498165
AL012004,8.031817513242109,16.65592702877951,15.668933706028147,20.918585471475986
AL012005,17.341950922315473,15.4457346628422,24.171750101944134,15.416339002896917
AL012006,10.124862169322675,22.07426695657238,20.51663695559916,29.127241794423767
AL012007,20.019262946982618,12.850130981737372,21.58547891919539,18.688346676186494
AL012008,14.838989961689263,11.574109213314271,8.932561408920192,5.63648867956449
AL012009,8.592187966006637,12.636203301891515,21.114553305808325,8.013407789110282
AL012010,5.520768656633899,12.102393101142383,21.21165203245292,13.3787954032876
AL012011,8.966896567803662,13.38662908673,21.781776159916042,13.300713033972102
AL012012,12.76636508622003,21.81266480955052,31.395697309827693,12.564726705256303
AL012013,12.270186033946159,25.289238217647892,24.891910169417073,37.202710738978794
AL012014,6.954225776633329,6.082440514892256,7.425968422984576,10.453861204109817
AL012015,12.982204729885197,40.04276330412114,41.742052278902285,38.84597027733177
AL012016,25.899756697173345,25.73927681121175,18.111189506138714,16.508638886530534
AL012017,21.862168628727876,12.638228814819351,13.606064824187778,17.108137576543808
AL012018,15.64977173348151,19.561001238953388,24.937942720068193,30.046495803926508
AL012019,15.881656851254597,40.20385218277569,20.85359562435072,18.71022777229216
AL012020,6.238992148675885,38.70791424487802,35.202459230861955,44.828880314332636
AL012021,38.87278191577037,18.694685817852562,16.742554970472092,16.394396671218168
AL012022,28.73695249961006,38.99078346098562,31.22214663611426,30.643147510298693
AL012023,22.4558456611701,35.37818112813266,46.18092511138038,33.65895909024188
AL012024,12.362140393017093,5.015040698376077,1.2434825398785136,24.4921661713187
AL021851,11.417241496033803,16.239959800224387,4.958141889965884,13.723326972494894
AL021852,15.816081402388493,7.501622356962305,8.638531860480269,18.486064570263565
AL021853,2.3054191570045055,3.988828238708499,4.516872157276869,2.4277393020330127
AL021854,4.0899953441151355,7.220340549154249,3.412061825942576,3.770972200042075
AL021855,15.091216494240255,10.83559598888732,22.77338731982545,11.902181694509085
AL021856,11.520119230918791,4.311193585283748,7.618938754556504,1.1672393454855896
AL021857,11.288216889219395,11.487560357959541,12.082734220833702,24.6210437113314
AL021858,21.01748809443861,27.51854529940445,20.648755929339533,22.064636545566714
AL021859,14.370345063585063,13.49719340276121,9.716381002699208,10.679562790816723
AL021860,14.972143422759098,6.582806981154192,13.098699313074079,16.484293079300752
AL021861,11.095316739936653,7.402862040327973,11.028717083488361,9.74489586109978
AL021862,9.140429636621137,4.431011363495568,1.640685185821891,6.6318947070181435
AL021863,18.45637651025367,6.38792896751134,3.030402068804688,3.26281253906803
AL021864,14.005489475146497,12.116934623790767,12.022908538830992,9.138693237460512
AL021865,9.433333020009892,13.522987038017021,17.746873420029832,20.799796199038408
AL021866,8.81279527694618,10.631565253636913,11.12181287435905,12.281634073016283
AL021867,14.082791712300748,13.05060269509213,13.42266465952334,13.501132667546388
