code,formation_datetime,formation_lat,formation_lon
AL031957,1957-08-08 00:00:00,27.0,272.6
AL031958,1958-08-11 06:00:00,12.0,339.5
AL031959,1959-06-18 00:00:00,26.3,273.7
AL031960,1960-07-27 18:00:00,27.7,274.9
AL031961,1961-09-03 12:00:00,12.5,283.0
AL031962,1962-09-12 00:00:00,15.9,314.1
AL031963,1963-09-09 12:00:00,25.5,292.5
AL031964,1964-08-05 18:00:00,27.3,272.3
AL031965,1965-08-27 00:00:00,11.0,309.5
AL031966,1966-07-13 00:00:00,17.0,302.5
AL031967,1967-06-15 18:00:00,29.0,286.0
AL031968,1968-06-22 06:00:00,20.0,265.0
AL031969,1969-06-08 00:00:00,19.0,277.6
AL031970,1970-07-28 18:00:00,34.2,285.2
AL031971,1971-07-10 12:00:00,27.0,263.0
AL031972,1972-06-19 00:00:00,27.5,291.0
AL031973,1973-06-24 12:00:00,30.0,280.5
AL031974,1974-06-30 12:00:00,18.0,339.0
AL031975,1975-07-04 12:00:00,30.0,287.0
AL031976,1976-06-11 12:00:00,26.5,279.0
AL031977,1977-07-25 12:00:00,25.5,276.0
AL031978,1978-07-10 12:00:00,15.5,332.5
AL031979,1979-07-08 12:00:00,20.4,290.0
AL031980,1980-07-22 00:00:00,23.2,286.5
AL031981,1981-05-06 18:00:00,18.4,276.4
AL031982,1982-08-28 12:00:00,13.7,337.8
AL031983,1983-08-15 12:00:00,27.3,269.5
AL031984,1984-07-24 06:00:00,11.8,312.2
AL031985,1985-08-09 18:00:00,31.5,279.5
AL031986,1986-07-23 12:00:00,24.0,305.1
AL031987,1987-08-09 12:00:00,26.3,266.4
AL031988,1988-08-21 12:00:00,14.9,316.7
AL031989,1989-07-09 18:00:00,12.8,322.2
AL031990,1990-07-24 12:00:00,34.0,285.0
AL031991,1991-08-16 00:00:00,25.6,285.7
AL031992,1992-07-24 18:00:00,28.6,297.9
AL031993,1993-08-04 12:00:00,10.4,319.7
AL031994,1994-08-14 12:00:00,28.7,272.8
AL031995,1995-07-12 00:00:00,17.1,305.1
AL031996,1996-07-24 18:00:00,11.8,297.4
AL031997,1997-07-11 06:00:00,30.4,290.1
AL031998,1998-08-21 06:00:00,25.3,267.7
AL031999,1999-08-18 18:00:00,19.5,265.6
AL032000,2000-08-03 18:00:00,10.8,342.0
AL032001,2001-08-02 12:00:00,25.7,275.2
AL032002,2002-08-05 18:00:00,32.0,282.8
AL032003,2003-06-28 06:00:00,19.5,271.0
AL032004,2004-08-09 12:00:00,11.4,300.8
AL032005,2005-07-03 18:00:00,18.3,273.3
AL032006,2006-07-18 12:00:00,32.3,286.7
AL032007,2007-07-31 00:00:00,35.5,293.5
AL032008,2008-07-19 00:00:00,31.7,280.2
AL032009,2009-08-15 06:00:00,11.8,328.0
AL032010,2010-07-22 06:00:00,21.5,286.2
AL032011,2011-07-20 06:00:00,33.0,300.5
AL032012,2012-06-17 00:00:00,28.8,291.2
AL032013,2013-07-07 12:00:00,9.3,318.6
AL032014,2014-07-29 06:00:00,9.6,322.9
AL032015,2015-07-12 00:00:00,35.4,284.6
AL032016,2016-06-05 12:00:00,21.6,272.0
AL032017,2017-06-19 18:00:00,23.6,271.4
AL032018,2018-07-05 06:00:00,30.7,291.5
AL032019,2019-07-22 12:00:00,24.6,282.6
AL032020,2020-06-01 18:00:00,19.4,269.1
AL032021,2021-06-17 18:00:00,22.5,267.8
AL032022,2022-07-01 18:00:00,31.8,279.5
